"Symbol","ListedDate","ReturnRate"
"000928","1999-03-12","0.073248"
"000929","1999-06-23","1.462435"
"000930","1999-07-12","1.620000"
"000931","1999-07-12","4.527682"
"000932","1999-08-03","0.160377"
"000933","1999-08-31","0.636000"
"000935","1999-08-24","1.062222"
"000936","1999-08-10","1.879518"
"000937","1999-09-09","0.468710"
"000938","1999-11-04","3.418723"
"000939","1999-09-23","1.731411"
"000948","1999-10-14","2.012300"
"000949","1999-10-21","0.298718"
"000950","1999-09-16","1.315335"
"000951","1999-11-25","0.853723"
"000952","1999-11-12","1.500994"
"000953","1999-12-02","1.072289"
"000955","1999-12-09","1.037931"
"000956","1999-11-10","0.654397"
"000957","2000-01-13","0.473064"
"000958","1999-12-23","1.078947"
"000959","1999-12-16","0.075728"
"000960","2000-02-21","0.483333"
"000961","2000-03-01","0.882353"
"000962","2000-01-20","2.519149"
"000963","2000-01-27","2.579861"
"000965","2000-04-06","1.293478"
"000966","2000-03-16","1.195082"
"000967","2000-03-30","2.300604"
"000968","2000-06-22","1.258696"
"000969","2000-05-29","1.855140"
"000970","2000-04-20","4.690667"
"000971","2000-04-27","1.699095"
"000972","2000-09-26","1.974000"
"000973","2000-05-25","1.541401"
"000975","2000-06-08","1.206061"
"000976","2000-06-01","1.463134"
"000977","2000-06-08","2.853437"
"000978","2000-05-18","2.265306"
"000979","2000-06-16","1.979167"
"000980","2000-06-16","1.378871"
"000981","2000-06-22","2.145161"
"000982","2000-07-06","1.310465"
"000983","2000-07-26","0.710324"
"000985","2000-07-26","1.683453"
"000987","2000-07-18","1.732843"
"000988","2000-06-08","3.102289"
"000989","2000-06-28","1.581111"
"000990","2000-07-06","1.682828"
"000993","2000-07-31","0.346087"
"000995","2000-08-07","0.997436"
"000996","2000-07-18","1.446860"
"000997","2000-08-07","1.219144"
"000998","2000-12-11","2.110169"
"000999","2000-03-09","2.014201"
"001696","1997-03-06","13.440000"
"001896","1998-01-22","1.238095"
"001965","2017-12-25","0.398533"
"001979","2015-12-30","-0.017797"
"002001","2004-06-25","0.866518"
"002002","2004-06-25","1.439891"
"002003","2004-06-25","1.398915"
"002004","2004-06-25","1.007292"
"002005","2004-06-25","0.424176"
"002006","2004-06-25","1.306995"
"002007","2004-06-25","0.696315"
"002008","2004-06-25","3.248913"
"002009","2004-06-29","1.197388"
"002010","2004-06-29","0.553986"
"002011","2004-07-05","0.220665"
"002012","2004-07-05","1.324324"
"002013","2004-07-05","1.153595"
"002014","2004-07-08","0.516802"
"002015","2004-07-08","1.430514"
"002016","2004-07-08","0.690667"
"002017","2004-07-13","0.562800"
"002018","2004-07-13","0.345029"
"002019","2004-07-13","0.292761"
"002020","2004-07-15","0.317413"
"002021","2004-07-15","0.131923"
"002022","2004-07-21","0.446942"
"002023","2004-07-21","0.276094"
"002024","2004-07-21","1.002449"
"002025","2004-07-26","1.051429"
"002026","2004-07-27","0.241935"
"002027","2004-08-04","0.385417"
"002028","2004-08-05","0.522188"
"002029","2004-08-06","0.657718"
"002030","2004-08-09","1.132877"
"002031","2004-08-16","0.173025"
"002032","2004-08-17","-0.082719"
"002033","2004-08-25","0.500000"
"002034","2004-08-26","-0.090000"
"002035","2004-09-01","0.067500"
"002036","2004-09-03","0.143302"
"002037","2004-09-08","0.190691"
"002038","2004-09-09","0.100833"
"002039","2005-03-03","0.547739"
"002040","2005-03-25","0.741240"
"002041","2005-04-18","0.431737"
"002042","2005-04-27","0.489474"
"002043","2005-05-10","0.202811"
"002044","2005-05-18","0.481690"
"002045","2005-05-23","0.177778"
"002046","2005-05-26","0.687011"
"002047","2005-05-31","0.027907"
"002048","2005-06-03","0.137391"
"002049","2005-06-06","0.464435"
"002050","2005-06-07","0.136671"
"002051","2006-06-19","3.320270"
